ano,mes,vl_inicial,vl_empenhado,vl_atualizado,vl_liquidado,vl_pago
2013,1,7152516403.00,1505243306.99,7700744737.12,358456260.41,308808362.42
2013,2,0.00,693742678.47,14831140.59,493027043.25,434116995.49
2013,3,0.00,368300996.69,83014920.00,456443153.82,484290926.18
2013,4,0.00,427140705.13,7405558.76,527392271.55,526595893.65
2013,5,0.00,523697998.51,147575879.43,503439381.38,514231181.83
2013,6,0.00,444253336.54,340983199.84,523635897.45,548395906.59
2013,7,0.00,419068027.35,75075126.43,542465121.47,512040258.19
2013,8,0.00,482759253.30,54091422.56,536307433.12,510910155.05
2013,9,0.00,394762373.41,-7969739.01,513811465.46,549812997.38
2013,10,0.00,513141227.51,149290149.94,502089359.80,522700866.64
2013,11,0.00,421065136.51,-18042121.26,518527174.24,526803723.63
2013,12,0.00,899732950.64,173933439.01,1189690932.23,1107269251.72
